comment,other_contrapuntal,voices_p6_up,other_pres_type,phrase_number,voice_role_fifth,composition_number,voice_role_lo1_nim,start_measure,voices_p6_lo,cadence_role_cantz,cadence_alter,voice_role_fourth,other_formulas,voice_role_lo2_nim,cadence_final_tone,voice_role_up1_nim,voice_role_up2_nim,stop_measure,earlier_phrase,cadence_role_tenz,voices_p3_up,cadence,voice_role_un_oct,voice_role_dux2,voice_role_dux1,timestamp,voices_53_lo,repeat_exact_varied,analyst,voice_role_below,text_treatment,voices_53_up,voices_p3_lo,cadence_kind,voice_role_above,voice_role_com2,repeat_kind,voice_role_com1
,,None,None,"8: Il me dict que la damoiselle,",None,Je ne suis devin ne prophète,None,16,None,None,,None,,None,None,None,None,17,8,None,None,False,None,None,None,22/08/2013 16:47:46,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,HR Stagger,"9: Comme aussi la j'ay mis mon heur,",None,Je ne suis devin ne prophète,None,17,None,None,,None,,None,None,None,None,19,None,None,S,False,None,None,None,22/08/2013 16:45:24,B,None,"Bazinet, Genevieve",None,None,S,Ct,None,None,None,None,None
Rhythm at end of phrase 8 (bar 17) is varied.,,None,None,"8: Il me dict que la damoiselle,",None,Je ne suis devin ne prophète,None,16,None,None,,None,,None,None,None,None,17,1,None,None,False,None,None,None,22/08/2013 16:43:47,None,Varied,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,HR Simple,"8: Il me dict que la damoiselle,",None,Je ne suis devin ne prophète,None,16,None,None,,None,,None,None,None,None,17,None,None,None,False,None,None,None,22/08/2013 16:41:33,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,S,None,"8: Il me dict que la damoiselle,",None,Je ne suis devin ne prophète,None,16,T,None,,None,,None,None,None,None,17,None,None,S,False,None,None,None,22/08/2013 16:40:43,B,None,"Bazinet, Genevieve",None,None,Ct,Ct,None,None,None,None,None
,,None,None,"7: Demander le fault à mon cœur,",None,Je ne suis devin ne prophète,None,15,None,None,,None,,None,G,None,None,15,None,None,None,True,None,None,None,22/08/2013 16:39:12,None,None,"Bazinet, Genevieve",None,None,None,None,Plagal,None,None,None,None
,,S,HR Simple,"7: Demander le fault à mon cœur,",None,Je ne suis devin ne prophète,None,13,T,None,,None,,None,None,None,None,15,None,None,None,False,None,None,None,22/08/2013 16:38:35,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"7: Demander le fault à mon cœur,",None,Je ne suis devin ne prophète,None,13,None,None,,None,,None,None,None,None,13,None,None,None,False,None,None,None,22/08/2013 16:37:53,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
Tenor moves 2>3 from last word of phrase 6 to first word of phrase 7.,,None,None,"6: Que ce qu'elle faict pour le seur,",None,Je ne suis devin ne prophète,None,12,None,S,Evaded,None,,None,B-flat,None,None,13,None,T,None,True,None,None,None,22/08/2013 16:37:12,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,S,HR Simple,"6: Que ce qu'elle faict pour le seur,",None,Je ne suis devin ne prophète,None,11,T,None,,None,,None,None,None,None,13,None,None,S,False,None,None,None,22/08/2013 16:34:17,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
,,None,None,"5: Si donques sçavoir j'ay envie,",None,Je ne suis devin ne prophète,None,10,None,S,,None,,None,D,None,None,11,None,T,None,True,None,None,None,22/08/2013 16:32:21,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,HR Dance,"5: Si donques sçavoir j'ay envie,",None,Je ne suis devin ne prophète,None,6,None,None,,None,,None,None,None,None,9,None,None,S,False,None,None,None,22/08/2013 16:31:44,B,None,"Bazinet, Genevieve",None,None,T,Ct,None,None,None,None,None
,,None,None,"4: Ce que me desplait luy ennuye,",None,Je ne suis devin ne prophète,None,2,None,None,,None,,None,None,None,None,6,2,None,None,False,None,None,None,22/08/2013 16:28:38,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"3: Ce que je veulx elle souhaitte,",None,Je ne suis devin ne prophète,None,1,None,None,,None,,None,None,None,None,2,1,None,None,False,None,None,None,22/08/2013 16:27:55,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"2: Et si lis au coeur de m'amie,",None,Je ne suis devin ne prophète,None,4,None,S,,None,,None,G,None,None,5,None,T,None,True,None,None,None,22/08/2013 16:27:27,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,S,HR Simple,"2: Et si lis au coeur de m'amie,",None,Je ne suis devin ne prophète,None,2,T,None,,None,Romanesca,None,None,None,None,4,None,None,None,False,None,None,None,22/08/2013 16:26:44,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"1: Je ne suis devin ne prophete,",None,Je ne suis devin ne prophète,None,2,None,None,,None,,None,D,None,None,2,None,None,None,True,None,None,None,22/08/2013 16:25:51,None,None,"Bazinet, Genevieve",None,None,None,None,Plagal,None,None,None,None
,,S,HR Simple,"1: Je ne suis devin ne prophete,",None,Je ne suis devin ne prophète,None,1,T,None,,None,,None,None,None,None,2,None,None,None,False,None,None,None,22/08/2013 16:24:04,B,None,"Bazinet, Genevieve",None,None,Ct,None,None,None,None,None,None
,,S,None,"1: Je ne suis devin ne prophete,",None,Je ne suis devin ne prophète,None,1,T,None,,None,,None,None,None,None,2,None,None,None,False,None,None,None,22/08/2013 16:22:16,B,None,"Bazinet, Genevieve",None,None,Ct,None,None,None,None,None,None
,,None,None,8: Elle m'aime comme soi mesmes,None,Qui veult sçavoyr quelle est m'amye,None,46,None,S,,None,,None,G,None,None,47,None,T,None,True,None,None,None,22/08/2013 16:09:11,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,None,8: Elle m'aime comme soi mesmes,None,Qui veult sçavoyr quelle est m'amye,None,44,None,None,,None,,None,None,None,None,45,None,None,S,False,None,None,None,22/08/2013 16:08:30,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
"The overlap occurs on the word ""elle"" which is the final word of phrase 7 and the first word of phrase 8. This results in more distortion of the phrase structure than is typical with text overlap.",,None,None,8: Elle m'aime comme soi mesmes,None,Qui veult sçavoyr quelle est m'amye,None,40,None,None,,None,,None,None,None,None,41,None,None,None,False,None,None,None,22/08/2013 16:06:13,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"7: Et le pis que je trouve en elle,",None,Qui veult sçavoyr quelle est m'amye,None,40,None,None,,None,,None,None,None,None,41,None,None,None,True,None,None,None,22/08/2013 16:03:28,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
"This Pen is an echo of the one in bars 35-37, built on the same soggetto but transposed.",Invertible Counterpoint,None,PEn Tonal,"7: Et le pis que je trouve en elle,",None,Qui veult sçavoyr quelle est m'amye,None,38,None,None,,None,,None,None,None,None,40,None,None,None,False,B,Ct,T,22/08/2013 16:01:34,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,B
,"Invertible Counterpoint, Stretto Fuga",None,PEn Tonal,"7: Et le pis que je trouve en elle,",B,Qui veult sçavoyr quelle est m'amye,None,35,None,None,,None,,None,None,None,None,37,None,None,None,False,None,Ct,T,22/08/2013 15:56:16,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,B
,,None,None,"6: Un maintien un parler de mesmes,",None,Qui veult sçavoyr quelle est m'amye,None,34,None,None,,None,,None,D,None,None,35,None,None,None,True,None,None,None,22/08/2013 15:51:56,None,None,"Bazinet, Genevieve",None,None,None,None,Plagal,None,None,None,None
,,S,None,"6: Un maintien un parler de mesmes,",None,Qui veult sçavoyr quelle est m'amye,None,32,T,None,,None,,None,None,None,None,33,None,None,None,False,None,None,None,22/08/2013 15:51:07,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,HR Dance,"6: Un maintien un parler de mesmes,",None,Qui veult sçavoyr quelle est m'amye,None,30,None,None,,None,,None,None,None,None,35,None,None,None,False,None,None,None,22/08/2013 15:50:16,B,None,"Bazinet, Genevieve",None,None,T,None,None,None,None,None,None
,,None,None,"5: Je n'en cognois point de si belle,",None,Qui veult sçavoyr quelle est m'amye,None,29,None,S,,None,,None,D,None,None,30,None,T,None,True,None,None,None,22/08/2013 15:49:12,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,HR Stagger,"5: Je n'en cognois point de si belle,",None,Qui veult sçavoyr quelle est m'amye,None,27,None,None,,None,,None,None,None,None,29,None,None,None,False,None,None,None,22/08/2013 15:48:33,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"4: Qu'un chascun tire en sa cordelle,",None,Qui veult sçavoyr quelle est m'amye,None,16,None,None,,None,,None,None,None,None,26,2,None,None,False,None,None,None,22/08/2013 15:47:42,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
"Almost Exact repetition, but written out, no use of repeat sign. The only variation is in the Ct in bar 13-14 which anticipates the tenor line in bar 14.",,None,None,"3: Qui a la grace tant jolie,",None,Qui veult sçavoyr quelle est m'amye,None,13,None,None,,None,,None,None,None,None,18,1,None,None,False,None,None,None,22/08/2013 15:45:11,None,Varied,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"2: Cest une gente damoiselle,",None,Qui veult sçavoyr quelle est m'amye,None,12,None,S,,None,,None,G,None,None,13,None,T,None,True,None,None,None,22/08/2013 15:42:39,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
"The phrase is stated at least three times in each voice part, mostly with the same head-motif each time. (see S part, 3-10). ",,None,None,"2: Cest une gente damoiselle,",None,Qui veult sçavoyr quelle est m'amye,None,3,None,None,,None,,None,None,None,None,13,None,None,None,False,None,None,None,22/08/2013 15:41:20,None,None,"Bazinet, Genevieve",None,Text Declamation,None,None,None,None,None,None,None
,,None,FI,"2: Cest une gente damoiselle,",None,Qui veult sçavoyr quelle est m'amye,None,6,None,None,,None,,None,None,None,None,10,None,None,None,False,S,None,B,22/08/2013 15:34:47,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,S
,,None,None,"2: Cest une gente damoiselle,",None,Qui veult sçavoyr quelle est m'amye,None,3,None,None,,None,,None,None,None,None,5,None,None,None,False,None,None,None,22/08/2013 15:32:59,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"1: Qui veult sçavoir quelle est m'amie,",None,Qui veult sçavoyr quelle est m'amye,None,3,None,None,,None,,None,None,None,None,5,None,None,None,True,None,None,None,22/08/2013 15:32:22,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,None,PEn,"1: Qui veult sçavoir quelle est m'amie,",None,Qui veult sçavoyr quelle est m'amye,None,2,None,None,,T,,None,None,None,None,3,None,None,None,False,None,B,S,22/08/2013 15:28:35,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,T
,Invertible Counterpoint,None,PEn Tonal,"1: Qui veult sçavoir quelle est m'amie,",None,Qui veult sçavoyr quelle est m'amye,None,1,None,None,,Ct,,None,None,None,None,3,None,None,None,False,None,B,T,22/08/2013 15:26:22,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,Ct
,,None,None,8: Par qui les Dieux sont moins que moy.,None,Si m'amie a de fermeté,None,28,None,None,,None,,None,None,None,None,37,8,None,None,False,None,None,None,22/08/2013 15:21:58,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,8: Par qui les Dieux sont moins que moy.,None,Si m'amie a de fermeté,None,37,None,S,,None,,None,G,None,None,38,None,T,None,True,None,None,None,22/08/2013 15:21:21,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,None,8: Par qui les Dieux sont moins que moy.,None,Si m'amie a de fermeté,None,32,None,S,,None,,None,G,None,None,33,None,T,None,True,None,None,None,22/08/2013 15:20:51,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,"Invertible Counterpoint, Stretto Fuga",None,PEn Tonal,8: Par qui les Dieux sont moins que moy.,None,Si m'amie a de fermeté,None,28,None,None,,None,,None,None,None,None,30,None,None,None,False,Ct,B,S,22/08/2013 15:20:01,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,T,None,Ct
,,None,None,"7: O en amitié l'oultre passe,",None,Si m'amie a de fermeté,None,23,None,None,,None,,None,None,None,None,28,7,None,None,False,None,None,None,22/08/2013 15:16:57,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,"7: O en amitié l'oultre passe,",None,Si m'amie a de fermeté,None,27,None,None,,None,,None,None,None,None,28,None,None,None,True,None,None,None,22/08/2013 15:16:22,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,None,HR Simple,"7: O en amitié l'oultre passe,",None,Si m'amie a de fermeté,None,23,None,None,,None,,None,None,None,None,28,None,None,Ct,False,None,None,None,22/08/2013 15:13:00,None,None,"Bazinet, Genevieve",None,None,None,T,None,None,None,None,None
,,None,None,"7: O en amitié l'oultre passe,",None,Si m'amie a de fermeté,None,23,None,None,,None,,None,None,None,None,24,None,None,None,False,None,None,None,22/08/2013 15:10:16,None,None,"Bazinet, Genevieve",None,Text Declamation,None,None,None,None,None,None,None
,,None,None,"6: N'ay je pas preuve de sa foy,",None,Si m'amie a de fermeté,None,22,None,None,,None,,None,None,None,None,23,None,None,None,True,None,None,None,22/08/2013 15:09:32,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,"Invertible Counterpoint, Stretto Fuga",None,PEn Tonal,"6: N'ay je pas preuve de sa foy,",None,Si m'amie a de fermeté,None,19,None,None,,None,,None,None,None,None,21,None,None,None,False,S,T,Ct,22/08/2013 15:07:23,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,B,None,S
,,None,None,"5: Mais quoy fault il que doubte en face,",None,Si m'amie a de fermeté,None,18,None,S,,None,,None,B-flat,None,None,19,None,T,None,True,None,None,None,22/08/2013 15:04:03,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,FI,"5: Mais quoy fault il que doubte en face,",None,Si m'amie a de fermeté,None,15,None,None,,None,,None,None,None,None,17,None,None,None,False,S,None,T,22/08/2013 15:03:10,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,S
,,None,FI,"5: Mais quoy fault il que doubte en face,",None,Si m'amie a de fermeté,None,11,None,None,,None,,None,None,None,None,13,None,None,None,False,T,None,S,22/08/2013 14:59:41,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,T
,,None,None,4: Car mon heur tous ceulx du ciel passe:,None,Si m'amie a de fermeté,None,4,None,None,,None,,None,None,None,None,11,2,None,None,False,None,None,None,22/08/2013 14:57:13,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
"Phrase 3 opens with the tenor (9-10), which anticipates the S/F duo of bars 1-5, whereas phrase one opens with S, Ct and B.",,None,None,"3: Plus qu'un Dieu suis en verité,",None,Si m'amie a de fermeté,None,1,None,None,,None,,None,None,None,None,5,1,None,None,False,None,None,None,22/08/2013 14:55:58,None,Varied,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"2: Aultant qu'elle a de bonne grace,",None,Si m'amie a de fermeté,None,8,None,S,,None,,None,G,None,None,9,None,T,None,True,None,None,None,22/08/2013 14:48:55,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,FI,"2: Aultant qu'elle a de bonne grace,",None,Si m'amie a de fermeté,None,4,None,None,,None,,None,None,None,None,7,None,None,None,False,T,None,S,22/08/2013 14:47:59,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,T
,,None,None,"2: Aultant qu'elle a de bonne grace,",None,Si m'amie a de fermeté,None,4,None,None,,None,,None,None,None,None,5,None,None,None,False,None,None,None,22/08/2013 14:46:15,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"1: Si m'amie a de fermeté,",None,Si m'amie a de fermeté,None,4,None,None,,None,Romanesca,None,None,None,None,5,None,None,None,True,None,None,None,22/08/2013 14:45:32,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,None,FI,"1: Si m'amie a de fermeté,",None,Si m'amie a de fermeté,None,1,None,None,,None,,None,None,None,None,5,None,None,None,False,T,None,S,22/08/2013 14:43:34,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,T
,,None,HR Simple,"1: Si m'amie a de fermeté,",None,Si m'amie a de fermeté,None,1,None,None,,None,,None,None,None,None,1,None,None,None,False,None,None,None,22/08/2013 14:42:34,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"8: De ton travail, et du mien tu es cause.",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,23,None,S,,None,,None,G,None,None,24,None,T,None,True,None,None,None,22/08/2013 14:18:14,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,None,"8: De ton travail, et du mien tu es cause.",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,17,None,None,,None,,None,None,None,None,23,8,None,None,False,None,None,None,22/08/2013 14:17:38,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,S,None,"8: De ton travail, et du mien tu es cause.",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,17,Ct,None,,None,,None,None,None,None,18,None,None,None,False,None,None,None,22/08/2013 14:16:26,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"8: De ton travail, et du mien tu es cause.",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,16,None,T,"Inverted, Evaded",None,,None,B-flat,None,None,17,None,S,None,True,None,None,None,22/08/2013 14:14:45,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,None,"8: De ton travail, et du mien tu es cause.",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,15,None,None,,None,,None,None,None,None,16,None,None,None,False,None,None,None,22/08/2013 14:13:04,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"7: Ha donc povre œil endure doulcement,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,14,None,None,,None,,None,D,None,None,15,None,None,None,True,None,None,None,22/08/2013 14:11:12,None,None,"Bazinet, Genevieve",None,None,None,None,Plagal,None,None,None,None
,,S,None,"7: Ha donc povre œil endure doulcement,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,12,T,None,,None,,None,None,None,None,14,None,None,None,False,None,None,None,22/08/2013 14:10:02,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"6: Et cela faict que si mal je repose,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,12,None,None,,None,,None,D,None,None,12,None,None,None,True,None,None,None,22/08/2013 14:08:33,None,None,"Bazinet, Genevieve",None,None,None,None,Plagal,None,None,None,None
"Also parallel 4ths between Ct and T, bars 10-12.",,None,HR Dactyll,"6: Et cela faict que si mal je repose,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,10,None,None,,None,,None,None,None,None,12,None,None,S,False,None,None,None,22/08/2013 14:07:58,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
,,None,None,"5: Par ton regard eut son commencement,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,8,None,T,"Displaced, Inverted, Evaded",None,,None,G,None,None,9,None,Ct,None,True,None,None,None,22/08/2013 14:04:32,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,HR Stagger,"5: Par ton regard eut son commencement,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,7,None,None,,None,,None,None,None,None,9,None,None,S,False,None,None,None,22/08/2013 14:03:34,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
,,None,None,"4: Qui en est cause helas c’est mon tourment,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,4,None,None,,None,,None,None,None,None,6,2,None,None,False,None,None,None,22/08/2013 14:01:50,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"3: Car si les nuictz sans te fermer je veille,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,1,None,None,,None,,None,None,None,None,3,1,None,None,False,None,None,None,22/08/2013 14:01:26,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"2: Accuses en toy mesmes seulement,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,5,None,S,,None,,None,D,None,None,6,None,T,None,True,None,None,None,22/08/2013 14:01:02,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,None,"2: Accuses en toy mesmes seulement,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,4,None,None,,None,,None,None,None,None,4,None,None,Ct,False,None,None,None,22/08/2013 14:00:31,None,None,"Bazinet, Genevieve",None,None,None,T,None,None,None,None,None
,,None,None,"2: Accuses en toy mesmes seulement,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,4,None,None,,None,,None,None,None,None,5,None,None,S,False,None,None,None,22/08/2013 14:00:11,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
,,None,HR Dactyll,"2: Accuses en toy mesmes seulement,",None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,4,None,None,,None,,None,None,None,None,6,None,None,None,False,None,None,None,22/08/2013 13:59:03,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,1: Ce n'est poinct moy mon oeil qui te travaille,None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,3,None,None,,None,,None,None,None,None,3,None,None,None,True,None,None,None,22/08/2013 13:57:17,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,S,HR Simple,1: Ce n'est poinct moy mon oeil qui te travaille,None,"Ce n'est poinct moy, mon oeil, qui te travaille",None,1,Ct,None,,None,,None,None,None,None,3,None,None,None,False,None,None,None,22/08/2013 13:56:07,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,8: En un lieu sans querelle.,None,Quand tant me mectz devant mes yeulx,None,17,None,None,,None,,None,None,None,None,23,8,None,None,False,None,None,None,22/08/2013 12:04:29,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,"7: Avec foy à peine jamais,",None,Quand tant me mectz devant mes yeulx,None,14,None,None,,None,,None,None,None,None,17,7,None,None,False,None,None,None,22/08/2013 12:03:54,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,"6: Asseuré qu'elle nourrist grande beaulté en paix,",None,Quand tant me mectz devant mes yeulx,None,10,None,None,,None,,None,None,None,None,15,6,None,None,False,None,None,None,22/08/2013 12:03:33,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,"5: Mais si n'ay je peur ny demye,",None,Quand tant me mectz devant mes yeulx,None,8,None,None,,None,,None,None,None,None,11,5,None,None,False,None,None,None,22/08/2013 12:03:10,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,8: En un lieu sans querelle.,None,Quand tant me mectz devant mes yeulx,None,22,None,S,,None,,None,G,None,None,23,None,T,None,True,None,None,None,22/08/2013 12:01:11,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,Invertible Counterpoint,None,PEn Tonal,8: En un lieu sans querelle.,B,Quand tant me mectz devant mes yeulx,None,18,None,None,,None,,None,None,None,None,20,None,None,None,False,None,Ct,T,22/08/2013 12:00:16,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,B
,,None,None,8: En un lieu sans querelle.,None,Quand tant me mectz devant mes yeulx,None,17,None,None,,None,,None,None,None,None,18,None,None,None,False,None,None,None,22/08/2013 11:58:32,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"7: Avec foy à peine jamais,",None,Quand tant me mectz devant mes yeulx,None,17,None,B,"Displaced, Inverted",None,,None,D,None,None,18,None,Ct,None,True,None,None,None,22/08/2013 11:56:23,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,Phrygian,None,None,None,None
,Invertible Counterpoint,None,PEn,"7: Avec foy à peine jamais,",None,Quand tant me mectz devant mes yeulx,None,15,None,None,,None,,None,None,None,None,16,None,None,None,False,B,T,Ct,22/08/2013 11:53:47,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,B
,,None,None,"7: Avec foy à peine jamais,",None,Quand tant me mectz devant mes yeulx,None,15,None,None,,None,,None,None,None,None,16,None,None,None,False,None,None,None,22/08/2013 11:52:03,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"6: Asseuré qu'elle nourrist grande beaulté en paix,",None,Quand tant me mectz devant mes yeulx,None,11,None,None,,None,,None,None,None,None,12,None,None,None,False,None,None,None,22/08/2013 11:50:43,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"5: Mais si n'ay je peur ny demye,",None,Quand tant me mectz devant mes yeulx,None,11,None,None,,None,,None,None,None,None,12,None,None,None,True,None,None,None,22/08/2013 11:49:27,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,Stretto Fuga,None,FI,"5: Mais si n'ay je peur ny demye,",None,Quand tant me mectz devant mes yeulx,None,9,None,None,,None,,None,None,None,None,10,None,None,None,False,T,None,S,22/08/2013 11:46:57,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,T
,,None,None,"4: Me blasmeroit on mie,",None,Quand tant me mectz devant mes yeulx,None,8,None,None,,None,,None,None,None,None,8,None,None,None,False,None,None,None,22/08/2013 11:43:16,None,None,"Bazinet, Genevieve",None,Text Pause,None,None,None,None,None,None,None
,,None,None,"4: Me blasmeroit on mie,",None,Quand tant me mectz devant mes yeulx,None,4,None,None,,None,,None,None,None,None,8,2,None,None,False,None,None,None,22/08/2013 11:42:23,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"3: Qui me voirroit jaloux des Dieux,",None,Quand tant me mectz devant mes yeulx,None,1,None,None,,None,,None,None,None,None,4,1,None,None,False,None,None,None,22/08/2013 11:41:20,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"2: De graces en m'amie,",None,Quand tant me mectz devant mes yeulx,None,7,None,S,,None,,None,G,None,None,8,None,T,None,True,None,None,None,22/08/2013 11:39:01,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,S,None,"2: De graces en m'amie,",None,Quand tant me mectz devant mes yeulx,None,5,T,None,,None,,None,None,None,None,6,None,None,None,False,None,None,None,22/08/2013 11:38:07,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,S,HR Dance,"1: Quand tant me mectz devant les yeulx,",None,Quand tant me mectz devant mes yeulx,None,1,T,None,,None,,None,None,None,None,4,None,None,Ct,False,None,None,None,22/08/2013 11:37:12,None,None,"Bazinet, Genevieve",None,None,None,T,None,None,None,None,None
